Date,Bull,Neutral,Bear
4-26-12,0.276423,0.349593,0.373984
4-19-12,0.311787,0.34981,0.338403
4-12-12,0.281385,0.30303,0.415584
4-5-12,0.381743,0.340249,0.278008
3-29-12,0.4247,0.3205,0.2548
3-22-12,0.423841,0.298013,0.278146
3-15-12,0.456067,0.271967,0.271967
3-8-12,0.42379,0.28624,0.28996
3-1-12,0.44512,0.28658,0.26829
2-23-12,0.43689,0.28802,0.27508
2-16-12,0.42713,0.30653,0.26633
2-9-12,0.51643,0.28169,0.20187
2-2-12,0.43806,0.31117,0.25075
1-26-12,0.483974,0.32692,0.1891
1-19-12,0.4723,0.2915,0.2361
1-12-12,0.4914,0.3368,0.1718
1-5-12,0.4888,0.3395,0.1716
12-29-11,0.406,0.2857,0.30827
12-22-11,0.33725,0.38039,0.28235
12-15-11,0.4018,0.2616,0.3364
12-8-11,0.3857,0.2666,0.3476
12-1-11,0.3304,0.2753,0.3942
11-24-11,0.3271,0.2901,0.3827
11-17-11,0.4193,0.2701,0.3104
11-10-11,0.4473,0.307,0.2456
11-3-11,0.4018,0.302,0.2962
10-27-11,0.43,0.32,0.25
10-20-11,0.3598,0.2941,0.346
10-13-11,0.3977,0.2386,0.3636
10-6-11,0.3523,0.1904,0.4571
9-29-11,0.3251,0.2068,0.4679
9-22-11,0.2533,0.2667,0.48
9-15-11,0.305,0.2815,0.4135
9-8-11,0.3022,0.295,0.4029
9-1-11,0.3862,0.2904,0.3234
8-25-11,0.3644,0.226,0.4096
8-18-11,0.3556,0.2462,0.3982
8-11-11,0.3343,0.2179,0.4478
8-4-11,0.2716,0.2299,0.4985
7-28-11,0.3784,0.3074,0.3142
7-21-11,0.3986,0.2954,0.3061
7-14-11,0.3931,0.3145,0.2925
7-7-11,0.4177,0.3354,0.2468
6-30-11,0.3831,0.3149,0.3019
6-23-11,0.3746,0.268,0.3574
6-16-11,0.29,0.2825,0.4275
6-9-11,0.2442,0.2791,0.4767
6-2-11,0.3018,0.3639,0.3343
5-26-11,0.2561,0.3297,0.4142
5-19-11,0.2669,0.3202,0.4129
5-12-11,0.3077,0.3373,0.355
5-5-11,0.3546,0.3267,0.3187
4-28-11,0.379,0.3145,0.3065
4-21-11,0.3216,0.3684,0.3099
4-14-11,0.4225,0.2676,0.3099
4-7-11,0.4359,0.2756,0.2885
